Datacert	554e7e9189e04bb925684d404f8ce507	2006	'$14.4 million	http://www.inc.com/inc5000/profile/datacert	TX	317%'
DataSynapse	554e7e9189e04bb925684d404f8ce507	2006	'$22.3 million	http://www.inc.com/inc5000/profile/datasynapse	NY	1,416%'
DecisionPath Consulting	554e7e9189e04bb925684d404f8ce507	2006	'$10.1 million	http://www.inc.com/inc5000/profile/decisionpath-consulting	MD	574%'
DECO Security Services	554e7e9189e04bb925684d404f8ce507	2006	'$64.8 million	http://www.inc.com/inc5000/profile/deco-security-services	MN	652%'
DEI Services	554e7e9189e04bb925684d404f8ce507	2006	'$10.2 million	http://www.inc.com/inc5000/profile/dei-services	FL	479%'
DHSoft	554e7e9189e04bb925684d404f8ce507	2006	'$7.8 million	http://www.inc.com/inc5000/profile/dhsoft	VA	543%'
Diamond Wireless	554e7e9189e04bb925684d404f8ce507	2006	'$20.5 million	http://www.inc.com/inc5000/profile/diamond-wireless	UT	348%'
Diamond Wireless	554e7e9189e04bb925684d404f8ce507	2006	'$20.5 million	http://www.inc.com/inc5000/profile/diamond-wireless	UT	348%'
Digineer	554e7e9189e04bb925684d404f8ce507	2006	'$7.8 million	http://www.inc.com/inc5000/profile/digineer	MN	564%'
Digital Lifestyle Outfitters	554e7e9189e04bb925684d404f8ce507	2006	'$83.6 million	http://www.inc.com/inc5000/profile/digital-lifestyle-outfitters	SC	4,385%'
Diversified Mortgage	554e7e9189e04bb925684d404f8ce507	2006	'$3.4 million	http://www.inc.com/inc5000/profile/diversified-mortgage	CA	414%'
DLC	554e7e9189e04bb925684d404f8ce507	2006	'$28.8 million	http://www.inc.com/inc5000/profile/dlc	CA	340%'
Docutek Imaging Solutions	554e7e9189e04bb925684d404f8ce507	2006	'$11.5 million	http://www.inc.com/inc5000/profile/docutek-imaging-solutions	FL	390%'
Dogfish Head Craft Brewery	554e7e9189e04bb925684d404f8ce507	2006	'$8.2 million	http://www.inc.com/inc5000/profile/dogfish-head-craft-brewery	DE	383%'
DollarDays International	554e7e9189e04bb925684d404f8ce507	2006	'$8.9 million	http://www.inc.com/inc5000/profile/dollardays-international	AZ	682%'
Dorado	554e7e9189e04bb925684d404f8ce507	2006	'$28.6 million	http://www.inc.com/inc5000/profile/dorado	CA	396%'
Dow Networks	554e7e9189e04bb925684d404f8ce507	2006	'$4.3 million	http://www.inc.com/inc5000/profile/dow-networks	GA	354%'
