Bankers Healthcare Group,554e7e9189e04bb925684d404f8d0039,2009,$105.6 million
Bar Harbor Foods,554e7e9189e04bb925684d404f8d0039,2009,$3.4 million
Barfield Murphy Shank & Smith,554e7e9189e04bb925684d404f8d0039,2009,$13.3 million
Barrister Global Services Network,554e7e9189e04bb925684d404f8d0039,2009,$15.3 million
Basic,554e7e9189e04bb925684d404f8d0039,2009,$8.3 million
Batteries Plus,554e7e9189e04bb925684d404f8d0039,2009,$100.7 million
Bayside Machine,554e7e9189e04bb925684d404f8d0039,2009,$4.2 million
Bayview Limousine Service,554e7e9189e04bb925684d404f8d0039,2009,$5.5 million
BBE,554e7e9189e04bb925684d404f8d0039,2009,$25.3 million
BBS Technologies,554e7e9189e04bb925684d404f8d0039,2009,$22.2 million
Beacon Application Services,554e7e9189e04bb925684d404f8d0039,2009,$14.2 million
Beacon Associates,554e7e9189e04bb925684d404f8d0039,2009,$7.2 million
Beacon Hill Staffing Group,554e7e9189e04bb925684d404f8d0039,2009,$45.7 million
Beacon Occupational Health & Safety Services,554e7e9189e04bb925684d404f8d0039,2009,$16 million
Beacon Partners,554e7e9189e04bb925684d404f8d0039,2009,$29 million
beBetter Networks,554e7e9189e04bb925684d404f8d0039,2009,$16.8 million
Bell Foods,554e7e9189e04bb925684d404f8d0039,2009,$5.7 million
Belzon,554e7e9189e04bb925684d404f8d0039,2009,$13.4 million
Benefit Express Services,554e7e9189e04bb925684d404f8d0039,2009,$7 million
Benham Real Estate Group,554e7e9189e04bb925684d404f8d0039,2009,$3.7 million
Best Practice Systems,554e7e9189e04bb925684d404f8d0039,2009,$3.8 million
BestBill,554e7e9189e04bb925684d404f8d0039,2009,$11.2 million
BestIT,554e7e9189e04bb925684d404f8d0039,2009,$6.5 million
Better World Books,554e7e9189e04bb925684d404f8d0039,2009,$24.9 million
Bevilacqua Research,554e7e9189e04bb925684d404f8d0039,2009,$5.8 million
BIAS,554e7e9189e04bb925684d404f8d0039,2009,$25.1 million
Big Ass Fans,554e7e9189e04bb925684d404f8d0039,2009,$37.7 million
Big Fish Games,554e7e9189e04bb925684d404f8d0039,2009,$84.1 million
Bigler,554e7e9189e04bb925684d404f8d0039,2009,$182.1 million
BigMachines,554e7e9189e04bb925684d404f8d0039,2009,$13.1 million
Bills.com,554e7e9189e04bb925684d404f8d0039,2009,$74.9 million
Billtrust,554e7e9189e04bb925684d404f8d0039,2009,$10 million
Binary Tree,554e7e9189e04bb925684d404f8d0039,2009,$15.5 million
Birch Communications,554e7e9189e04bb925684d404f8d0039,2009,$150.8 million
BirdDog Solutions,554e7e9189e04bb925684d404f8d0039,2009,$23.4 million
Bit-Wizards,554e7e9189e04bb925684d404f8d0039,2009,$2.2 million
BizXchange,554e7e9189e04bb925684d404f8d0039,2009,$2.9 million
Blackhawk Automatic Sprinklers,554e7e9189e04bb925684d404f8d0039,2009,$13 million
BlackLine Systems,554e7e9189e04bb925684d404f8d0039,2009,$5 million
Blade HQ,554e7e9189e04bb925684d404f8d0039,2009,$2.4 million
Blade HQ,554e7e9189e04bb925684d404f8d0039,2009,$2.4 million
'Blaser''s USA',554e7e9189e04bb925684d404f8d0039,2009,$6.5 million
Bleeker Vigesaa General Contractors,554e7e9189e04bb925684d404f8d0039,2009,$12.3 million
Blu Sky Restoration Contractors,554e7e9189e04bb925684d404f8d0039,2009,$13.9 million
Bludworth Marine,554e7e9189e04bb925684d404f8d0039,2009,$22.6 million
Blue Cod Technologies,554e7e9189e04bb925684d404f8d0039,2009,$15.5 million
Blue Entertainment Sports Television,554e7e9189e04bb925684d404f8d0039,2009,$22.9 million
Blue Gecko,554e7e9189e04bb925684d404f8d0039,2009,$2.3 million
Blue Horseshoe Solutions,554e7e9189e04bb925684d404f8d0039,2009,$9.8 million
Blue Prairie Group,554e7e9189e04bb925684d404f8d0039,2009,$2.2 million
Blue Ridge Log Cabins,554e7e9189e04bb925684d404f8d0039,2009,$18.1 million
Blue Sky Factory,554e7e9189e04bb925684d404f8d0039,2009,$3.5 million
Blue State Digital,554e7e9189e04bb925684d404f8d0039,2009,$8.6 million
Blue Streak Partners,554e7e9189e04bb925684d404f8d0039,2009,$5 million
Blue Sun Biodiesel,554e7e9189e04bb925684d404f8d0039,2009,$15 million
BlueCotton,554e7e9189e04bb925684d404f8d0039,2009,$3.5 million
Bluefish Wireless Management,554e7e9189e04bb925684d404f8d0039,2009,$12.6 million
BlueStar Energy Solutions,554e7e9189e04bb925684d404f8d0039,2009,$193.3 million
BlueView Technologies,554e7e9189e04bb925684d404f8d0039,2009,$4 million
BO Technology,554e7e9189e04bb925684d404f8d0039,2009,$2.3 million
BOC International,554e7e9189e04bb925684d404f8d0039,2009,$20.7 million
Bodybuilding.com,554e7e9189e04bb925684d404f8d0039,2009,$129 million
Bomgar,554e7e9189e04bb925684d404f8d0039,2009,$19.5 million
Boneal,554e7e9189e04bb925684d404f8d0039,2009,$20.3 million
Border States Electric,554e7e9189e04bb925684d404f8d0039,2009,$932.8 million
Borrego Solar Systems,554e7e9189e04bb925684d404f8d0039,2009,$58.9 million
BOSH Global Services,554e7e9189e04bb925684d404f8d0039,2009,$12.4 million
Boston Interactive,554e7e9189e04bb925684d404f8d0039,2009,$3.6 million
Bottom Line Equipment,554e7e9189e04bb925684d404f8d0039,2009,$9.6 million
'Bowman''s Works',554e7e9189e04bb925684d404f8d0039,2009,$28 million
BoxTone,554e7e9189e04bb925684d404f8d0039,2009,$5.3 million
Bradley Excavating,554e7e9189e04bb925684d404f8d0039,2009,$4.8 million
Bread & Co.,554e7e9189e04bb925684d404f8d0039,2009,$10.1 million
Brian Taylor International,554e7e9189e04bb925684d404f8d0039,2009,$2.8 million
Bridgepoint Education,554e7e9189e04bb925684d404f8d0039,2009,$218.3 million
BridgePoint Technologies,554e7e9189e04bb925684d404f8d0039,2009,$6.6 million
Bridges Consulting,554e7e9189e04bb925684d404f8d0039,2009,$6.9 million
Bridgevine,554e7e9189e04bb925684d404f8d0039,2009,$21.5 million
Bridgewater Tech,554e7e9189e04bb925684d404f8d0039,2009,$25.3 million
BrightFields,554e7e9189e04bb925684d404f8d0039,2009,$5.1 million
Brighton Cromwell,554e7e9189e04bb925684d404f8d0039,2009,$15.9 million
BrightStar Care,554e7e9189e04bb925684d404f8d0039,2009,$24.4 million
BrightStar Partners,554e7e9189e04bb925684d404f8d0039,2009,$5.5 million
Brightway Insurance,554e7e9189e04bb925684d404f8d0039,2009,$5.9 million
BriMar Wood Innovations,554e7e9189e04bb925684d404f8d0039,2009,$2.4 million
Brindley Beach Vacations & Sales,554e7e9189e04bb925684d404f8d0039,2009,$2.6 million
Britstan Technology,554e7e9189e04bb925684d404f8d0039,2009,$6.5 million
BRMi,554e7e9189e04bb925684d404f8d0039,2009,$3.5 million
Broadnet Teleservices,554e7e9189e04bb925684d404f8d0039,2009,$7.8 million
BroadSoft,554e7e9189e04bb925684d404f8d0039,2009,$61.5 million
Broadway Electric Service,554e7e9189e04bb925684d404f8d0039,2009,$70 million
Bronto Software,554e7e9189e04bb925684d404f8d0039,2009,$5 million
Brothers Air & Heat,554e7e9189e04bb925684d404f8d0039,2009,$11.5 million
